Distance,B
1164,0.897070
1165,0.897106
1166,0.897142
1167,0.897178
1168,0.897214
1169,0.897250
1170,0.897286
1171,0.897321
1172,0.897357
1173,0.897393
1174,0.897429
1175,0.897465
1176,0.897500
1177,0.897536
1178,0.897572
1179,0.897607
1180,0.897643
1181,0.897678
1182,0.897714
1183,0.897749
1184,0.897785
1185,0.897820
1186,0.897856
1187,0.897891
1188,0.897926
1189,0.897962
1190,0.897997
1191,0.898032
1192,0.898068
1193,0.898103
1194,0.898138
1195,0.898173
1196,0.898208
1197,0.898244
1198,0.898279
1199,0.898314
1200,0.898349
1201,0.898384
1202,0.898419
1203,0.898454
1204,0.898489
1205,0.898524
1206,0.898558
1207,0.898593
1208,0.898628
1209,0.898663
1210,0.898698
1211,0.898732
1212,0.898767
1213,0.898802
1214,0.898837
1215,0.898871
1216,0.898906
1217,0.898940
1218,0.898975
1219,0.899010
1220,0.899044
1221,0.899079
1222,0.899113
1223,0.899148
1224,0.899182
1225,0.899216
1226,0.899251
1227,0.899285
1228,0.899319
1229,0.899354
1230,0.899388
1231,0.899422
1232,0.899456
1233,0.899491
1234,0.899525
1235,0.899559
1236,0.899593
1237,0.899627
1238,0.899661
1239,0.899695
1240,0.899729
1241,0.899763
1242,0.899797
1243,0.899831
1244,0.899865
1245,0.899899
1246,0.899933
1247,0.899967
1248,0.900000
1249,0.900034
1250,0.900068
1251,0.900102
1252,0.900135
1253,0.900169
1254,0.900203
1255,0.900236
1256,0.900270
1257,0.900303
1258,0.900337
1259,0.900371
1260,0.900404
1261,0.900438
1262,0.900471
1263,0.900504
1264,0.900538
1265,0.900571
1266,0.900605
1267,0.900638
1268,0.900671
1269,0.900705
1270,0.900738
1271,0.900771
1272,0.900804
1273,0.900838
1274,0.900871
1275,0.900904
1276,0.900937
1277,0.900970
1278,0.901003
1279,0.901036
1280,0.901069
1281,0.901102
1282,0.901135
1283,0.901168
1284,0.901201
1285,0.901234
1286,0.901267
1287,0.901300
1288,0.901333
1289,0.901365
1290,0.901398
1291,0.901431
1292,0.901464
1293,0.901496
1294,0.901529
1295,0.901562
1296,0.901594
1297,0.901627
1298,0.901660
1299,0.901692
1300,0.901725
1301,0.901757
1302,0.901790
1303,0.901822
1304,0.901855
1305,0.901887
1306,0.901920
1307,0.901952
1308,0.901984
1309,0.902017
1310,0.902049
1311,0.902081
1312,0.902114
1313,0.902146
1314,0.902178
1315,0.902210
1316,0.902242
1317,0.902275
1318,0.902307
1319,0.902339
1320,0.902371
1321,0.902403
1322,0.902435
1323,0.902467
1324,0.902499
1325,0.902531
1326,0.902563
1327,0.902595
1328,0.902627
1329,0.902659
1330,0.902691
1331,0.902723
1332,0.902754
1333,0.902786
1334,0.902818
1335,0.902850
1336,0.902881
1337,0.902913
1338,0.902945
1339,0.902976
1340,0.903008
1341,0.903040
1342,0.903071
1343,0.903103
1344,0.903134
1345,0.903166
1346,0.903197
1347,0.903229
1348,0.903260
1349,0.903292
1350,0.903323
1351,0.903355
1352,0.903386
1353,0.903417
1354,0.903449
1355,0.903480
1356,0.903511
1357,0.903543
1358,0.903574
1359,0.903605
1360,0.903636
1361,0.903667
1362,0.903699
1363,0.903730
1364,0.903761
1365,0.903792
1366,0.903823
1367,0.903854
1368,0.903885
1369,0.903916
1370,0.903947
1371,0.903978
1372,0.904009
1373,0.904040
1374,0.904071
1375,0.904102
1376,0.904133
1377,0.904163
1378,0.904194
1379,0.904225
1380,0.904256
1381,0.904287
1382,0.904317
1383,0.904348
1384,0.904379
1385,0.904409
1386,0.904440
1387,0.904471
1388,0.904501
1389,0.904532
1390,0.904562
1391,0.904593
1392,0.904624
1393,0.904654
1394,0.904684
1395,0.904715
1396,0.904745
1397,0.904776
1398,0.904806
1399,0.904837
1400,0.904867
1401,0.904897
1402,0.904928
1403,0.904958
1404,0.904988
1405,0.905018
1406,0.905049
1407,0.905079
1408,0.905109
1409,0.905139
1410,0.905169
1411,0.905199
1412,0.905230
1413,0.905260
1414,0.905290
1415,0.905320
1416,0.905350
1417,0.905380
1418,0.905410
1419,0.905440
1420,0.905470
1421,0.905500
1422,0.905530
1423,0.905559
1424,0.905589
1425,0.905619
1426,0.905649
1427,0.905679
1428,0.905709
1429,0.905738
1430,0.905768
1431,0.905798
1432,0.905828
1433,0.905857
1434,0.905887
1435,0.905917
1436,0.905946
1437,0.905976
1438,0.906005
1439,0.906035
1440,0.906064
1441,0.906094
1442,0.906124
1443,0.906153
1444,0.906182
1445,0.906212
1446,0.906241
1447,0.906271
1448,0.906300
1449,0.906330
1450,0.906359
1451,0.906388
1452,0.906418
1453,0.906447
1454,0.906476
1455,0.906505
1456,0.906535
1457,0.906564
1458,0.906593
1459,0.906622
1460,0.906651
1461,0.906680
1462,0.906710
1463,0.906739
1464,0.906768
1465,0.906797
1466,0.906826
1467,0.906855
1468,0.906884
1469,0.906913
1470,0.906942
1471,0.906971
1472,0.907000
1473,0.907029
1474,0.907057
1475,0.907086
1476,0.907115
1477,0.907144
1478,0.907173
1479,0.907202
1480,0.907230
1481,0.907259
1482,0.907288
1483,0.907317
1484,0.907345
1485,0.907374
1486,0.907403
1487,0.907431
1488,0.907460
1489,0.907489
1490,0.907517
1491,0.907546
