= Calculating relative diversity (B) for all neutral sites across the genome. = = =
Using recombination (crossover) map from ../bin/200kb.map
Plot saved to genome_plot.png
= B value calculated in 9.37 seconds. = = =
         7150684 function calls (7025948 primitive calls) in 9.813 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      693    0.003    0.000    0.009    0.000 inspect.py:2280(_signature_from_function)
        1    0.000    0.000    0.009    0.009 offsetbox.py:1(<module>)
     5702    0.007    0.000    0.009    0.000 transforms.py:2043(scale)
     2979    0.002    0.000    0.009    0.000 transforms.py:312(xmax)
       20    0.000    0.000    0.009    0.000 axis.py:65(__init__)
       24    0.000    0.000    0.009    0.000 _base.py:233(__call__)
       35    0.007    0.000    0.009    0.000 enum.py:180(__new__)
     6278    0.001    0.000    0.009    0.000 transforms.py:1782(transform)
       12    0.000    0.000    0.009    0.001 _base.py:401(_plot_args)
       72    0.001    0.000    0.009    0.000 lines.py:287(__init__)
    30993    0.009    0.000    0.009    0.000 __init__.py:259(__iter__)
    24148    0.007    0.000    0.009    0.000 __init__.py:99(check_in_list)
        1    0.000    0.000    0.009    0.009 py3k.py:1(<module>)
    22417    0.006    0.000    0.008    0.000 cbook.py:1862(_str_lower_equal)
    11193    0.005    0.000    0.008    0.000 core.py:1315(_replace_dtype_fields)
     2988    0.002    0.000    0.008    0.000 transforms.py:307(ymin)
        1    0.000    0.000    0.008    0.008 ExifTags.py:1(<module>)
        1    0.000    0.000    0.008    0.008 polar.py:1(<module>)
