= Calculating relative diversity (B) for all neutral sites across the genome. = = =
Using recombination (crossover) map from ../bin/200kb.map
Plot saved to genome_plot.png
= B value calculated in 1.25 seconds. = = =
         1366344 function calls (1345329 primitive calls) in 1.689 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.003    0.003 backend_bases.py:1619(_get_renderer)
       55    0.001    0.000    0.002    0.000 {built-in method builtins.eval}
      687    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:391(cached)
     4017    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x1008befe8}
        1    0.000    0.000    0.002    0.002 ExifTags.py:295(<dictcomp>)
       85    0.001    0.000    0.002    0.000 lines.py:666(recache)
       32    0.000    0.000    0.002    0.000 transforms.py:651(union)
        1    0.000    0.000    0.002    0.002 fromnumeric.py:1(<module>)
      723    0.000    0.000    0.002    0.000 types.py:176(__get__)
        1    0.000    0.000    0.002    0.002 _char_codes.py:1(<module>)
      234    0.000    0.000    0.002    0.000 typing.py:1278(__eq__)
        1    0.000    0.000    0.002    0.002 transforms.py:1(<module>)
    12102    0.002    0.000    0.002    0.000 __init__.py:690(_get)
        6    0.000    0.000    0.002    0.000 patches.py:2257(<listcomp>)
       39    0.000    0.000    0.002    0.000 typing.py:407(__getitem__)
     7186    0.002    0.000    0.002    0.000 {built-in method numpy.asarray}
      747    0.001    0.000    0.002    0.000 functools.py:35(update_wrapper)
        1    0.000    0.000    0.002    0.002 PngImagePlugin.py:1(<module>)
       12    0.000    0.000    0.002    0.000 patches.py:530(_draw_paths_with_artist_properties)
      164    0.002    0.000    0.002    0.000 sre_compile.py:292(_optimize_charset)
       40    0.002    0.000    0.002    0.000 {built-in method posix.listdir}
       39    0.000    0.000    0.002    0.000 typing.py:532(Literal)
        1    0.000    0.000    0.002    0.002 mathtext.py:1(<module>)
      215    0.001    0.000    0.002    0.000 sre_compile.py:560(_compile_info)
        2    0.000    0.000    0.002    0.001 _base.py:2251(add_collection)
     1211    0.001    0.000    0.002    0.000 font_manager.py:638(__hash__)
     1554    0.002    0.000    0.002    0.000 font_manager.py:1173(score_stretch)
     1554    0.001    0.000    0.002    0.000 font_manager.py:1191(score_weight)
      389    0.002    0.000    0.002    0.000 enum.py:801(value)
      368    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
        1    0.000    0.000    0.002    0.002 Image.py:315(preinit)
        1    0.000    0.000    0.002    0.002 _secondary_axes.py:1(<module>)
       13    0.000    0.000    0.002    0.000 rcsetup.py:401(validate_font_properties)
       37    0.001    0.000    0.002    0.000 __init__.py:328(namedtuple)
       10    0.000    0.000    0.002    0.000 _fontconfig_pattern.py:80(parse_fontconfig_pattern)
      514    0.000    0.000    0.002    0.000 font_manager.py:899(copy)
        5    0.000    0.000    0.002    0.000 artist.py:350(get_tightbbox)
        1    0.000    0.000    0.002    0.002 pathlib.py:1(<module>)
        1    0.000    0.000    0.002    0.002 legend.py:1(<module>)
      118    0.000    0.000    0.002    0.000 abc.py:105(__new__)
    42466    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
     2177    0.002    0.000    0.002    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       42    0.000    0.000    0.002    0.000 colors.py:409(to_rgba_array)
       10    0.000    0.000    0.002    0.000 core.py:5642(__init__)
        2    0.000    0.000    0.002    0.001 collections.py:236(get_datalim)
       40    0.000    0.000    0.002    0.000 axis.py:2757(get_tick_space)
        1    0.000    0.000    0.002    0.002 __init__.py:240(_check_versions)
     30/9    0.000    0.000    0.002    0.000 core.py:4524(leave_whitespace)
        1    0.000    0.000    0.002    0.002 _internal.py:1(<module>)
     3903    0.001    0.000    0.002    0.000 {built-in method builtins.any}
   306/12    0.000    0.000    0.002    0.000 core.py:811(_parseNoCache)
       62    0.000    0.000    0.002    0.000 ticker.py:213(format_ticks)
    72/12    0.000    0.000    0.002    0.000 core.py:3994(parseImpl)
      761    0.000    0.000    0.002    0.000 colors.py:268(to_rgba)
